libgeo,taux ecarts salaire f-h,groupe age
Guadeloupe,2.2,25 ans et moins
Martinique,0,25 ans et moins
Guyane,-0.43,25 ans et moins
La Réunion,-1.37,25 ans et moins
Mayotte,,25 ans et moins
Île-de-France,-6.09,25 ans et moins
Centre-Val de Loire,-4.32,25 ans et moins
Bourgogne-Franche-Comté,-6.05,25 ans et moins
Normandie,-6.17,25 ans et moins
Hauts-de-France,-5.95,25 ans et moins
Grand Est,-6.26,25 ans et moins
Pays de la Loire,-5.67,25 ans et moins
Bretagne,-4.35,25 ans et moins
Nouvelle-Aquitaine,-4.62,25 ans et moins
Occitanie,-5.65,25 ans et moins
Auvergne-Rhône-Alpes,-6.4,25 ans et moins
Provence-Alpes-Côte d'Azur,-6.84,25 ans et moins
Corse,-3.95,25 ans et moins
Guadeloupe,-7.1,26 à 50 ans
Martinique,-6.56,26 à 50 ans
Guyane,-5.42,26 à 50 ans
La Réunion,-4.04,26 à 50 ans
Mayotte,,26 à 50 ans
Île-de-France,-10.89,26 à 50 ans
Centre-Val de Loire,-12.79,26 à 50 ans
Bourgogne-Franche-Comté,-13.44,26 à 50 ans
Normandie,-13.35,26 à 50 ans
Hauts-de-France,-11.9,26 à 50 ans
Grand Est,-14.06,26 à 50 ans
Pays de la Loire,-13.7,26 à 50 ans
Bretagne,-12.83,26 à 50 ans
Nouvelle-Aquitaine,-12.24,26 à 50 ans
Occitanie,-13.25,26 à 50 ans
Auvergne-Rhône-Alpes,-14.03,26 à 50 ans
Provence-Alpes-Côte d'Azur,-14.04,26 à 50 ans
Corse,-10.83,26 à 50 ans
Guadeloupe,-15.12,plus de 50 ans
Martinique,-14.06,plus de 50 ans
Guyane,-12.9,plus de 50 ans
La Réunion,-12.25,plus de 50 ans
Mayotte,,plus de 50 ans
Île-de-France,-25.01,plus de 50 ans
Centre-Val de Loire,-21.82,plus de 50 ans
Bourgogne-Franche-Comté,-21.58,plus de 50 ans
Normandie,-22.38,plus de 50 ans
Hauts-de-France,-21.28,plus de 50 ans
Grand Est,-23.82,plus de 50 ans
Pays de la Loire,-23.84,plus de 50 ans
Bretagne,-23.34,plus de 50 ans
Nouvelle-Aquitaine,-21.96,plus de 50 ans
Occitanie,-24.64,plus de 50 ans
Auvergne-Rhône-Alpes,-25.74,plus de 50 ans
Provence-Alpes-Côte d'Azur,-24.85,plus de 50 ans
Corse,-18.84,plus de 50 ans
